# Benchmark GPU-STREAM running on  Intel(R) Many Integrated Core Acceleration Card
# Precision: double. Range: [204800 .. 102400000] step 409600
# For more details see https://github.com/UoB-HPC/GPU-STREAM
#  ArrayElements    ArraySize(MB)      Copy(MBytes/s)    Mul(MBytes/s)      Add(MBytes/s)      Triad(MBytes/s)
    204800            1.56             9230.423          10176.398          12226.866          11377.778          
    614400            4.68             29609.639          30154.601          39638.710          38500.261          
    1024000            7.81             35158.798          35310.345          45259.669          45426.987          
    1433600            10.93             36936.554          36583.094          37892.511          37643.764          
    1843200            14.06             47489.855          44548.640          44548.640          46032.050          
    2252800            17.18             39828.508          38345.532          44536.409          45549.452          
    2662400            20.31             37203.843          38620.490          44250.416          43616.109          
    3072000            23.43             41096.990          41338.940          48473.373          47968.770          
    3481600            26.56             43520.000          42620.964          50034.970          50457.971          
    3891200            29.68             43355.989          43537.902          51767.627          52495.110          
    4300800            32.81             44829.186          43387.642          51764.895          52797.545          
    4710400            35.93             44151.377          42555.844          52777.591          53124.812          
    5120000            39.06             44643.052          45184.777          54036.939          55351.351          
    5529600            42.18             48611.868          47135.642          54998.094          56859.640          
    5939200            45.31             44845.304          44930.118          51738.947          55614.826          
    6348800            48.43             46532.661          47445.493          55711.590          56833.719          
    6758400            51.56             46349.936          47573.427          56872.931          57294.807          
    7168000            54.68             48228.764          48679.117          57806.452          58375.297          
    7577600            57.81             48073.592          47397.029          58874.199          58665.290          
    7987200            60.93             47791.773          45237.239          57119.428          56496.552          
    8396800            64.06             49212.015          51692.497          59941.463          60754.658          
    8806400            67.18             51859.551          51125.689          61835.459          61493.628          
    9216000            70.31             52400.853          52031.052          61576.837          61817.775          
    9625600            73.43             51594.506          51081.128          61818.143          62419.454          
    10035200            76.56             50523.348          50650.852          62362.714          62557.091          
    10444800            79.68             50094.964          54065.610          63833.766          64540.474          
    10854400            82.81             55627.931          52294.610          63662.170          64006.290          
    11264000            85.93             54563.730          53686.029          63623.441          64075.847          
    11673600            89.06             53872.974          53380.280          64733.457          65383.057          
    12083200            92.18             54352.319          54367.604          64760.339          66088.605          
    12492800            95.31             55216.796          51945.114          65910.574          66761.790          
    12902400            98.43             56791.857          55123.738          65577.637          66464.392          
    13312000            101.56             54557.377          54404.087          66352.648          67602.201          
    13721600            104.68             54369.886          55454.812          66555.861          66636.665          
    14131200            107.81             54403.080          49550.559          66682.816          65612.072          
    14540800            110.93             56730.749          52094.223          67034.038          65132.363          
    14950400            114.06             48139.746          50614.981          57108.006          64429.808          
    15360000            117.18             49044.103          49428.801          61686.747          64144.771          
    15769600            120.31             46466.593          49126.480          63555.063          63758.491          
    16179200            123.43             46802.965          50569.877          64362.805          65925.433          
    16588800            126.56             58436.988          56149.947          67149.806          67709.388          
    16998400            129.68             54091.965          54646.253          67187.352          69440.272          
    17408000            132.81             52542.539          52831.563          68177.546          64019.614          
    17817600            135.93             51635.863          54886.715          66920.563          68485.330          
    18227200            139.06             58833.004          57589.889          68684.691          68771.074          
    18636800            142.18             54773.843          52359.754          68381.471          69659.430          
    19046400            145.31             57357.877          52208.737          69417.403          70925.306          
    19456000            148.43             55509.272          51015.405          67360.646          68087.489          
    19865600            151.56             58503.516          55029.363          69107.755          69714.052          
    20275200            154.68             58928.828          57274.576          69366.329          69495.116          
    20684800            157.81             52758.935          53509.588          69802.475          70466.317          
    21094400            160.93             54978.075          51504.715          68823.491          68776.742          
    21504000            164.06             54268.770          54752.387          68429.594          69358.420          
    21913600            167.18             55919.872          55742.067          69677.583          69182.636          
    22323200            170.31             51082.838          52065.773          69814.543          71055.279          
    22732800            173.43             50370.420          56840.881          63344.619          63278.497          
    23142400            176.56             49963.352          50869.405          70314.926          70395.133          
    23552000            179.68             53887.030          53512.070          69775.089          71532.270          
    23961600            182.81             55482.721          57574.050          70691.875          70345.982          
    24371200            185.93             52666.018          57293.447          71104.887          70906.631          
    24780800            189.06             53645.352          53937.260          66734.650          71569.097          
