# Benchmark GPU-STREAM running on  Tesla C2070
# Precision: double. Range: [204800 .. 102400000] step 409600
# For more details see https://github.com/UoB-HPC/GPU-STREAM
#  ArrayElements    ArraySize(MB)      Copy(MBytes/s)    Mul(MBytes/s)      Add(MBytes/s)      Triad(MBytes/s)
    204800            1.56             80614.052          80892.663          84080.879          83482.514          
    614400            4.68             94974.204          95231.821          95318.005          95188.788          
    1024000            7.81             98815.469          98773.768          97339.560          97772.120          
    1433600            10.93             100251.310          100434.796          98823.246          99002.106          
    1843200            14.06             101139.618          100946.096          99730.141          99745.882          
    2252800            17.18             101753.346          101234.367          100043.854          100121.478          
    2662400            20.31             101065.019          101807.266          100207.165          100031.936          
    3072000            23.43             102291.103          102380.377          100652.697          100413.350          
    3481600            26.56             102348.073          102387.390          100936.300          100656.036          
    3891200            29.68             101924.575          101959.628          100825.704          100726.961          
    4300800            32.81             101973.593          102953.836          100517.099          100544.417          
    4710400            35.93             102440.085          103036.700          100762.877          100681.394          
    5120000            39.06             103315.374          102225.833          101447.660          101395.090          
    5529600            42.18             101675.445          101374.289          101266.225          101179.985          
    5939200            45.31             102928.284          103240.722          101060.369          100905.411          
    6348800            48.43             103570.704          102181.011          101007.682          100984.319          
    6758400            51.56             103384.008          102216.861          101318.312          101305.023          
    7168000            54.68             102606.496          103440.221          101490.332          101431.809          
    7577600            57.81             102319.199          103874.420          101268.766          101193.991          
    7987200            60.93             101960.540          101909.398          101037.185          100974.012          
    8396800            64.06             103570.696          103209.471          101535.197          101388.995          
    8806400            67.18             103981.793          102842.162          101621.297          101508.798          
    9216000            70.31             102719.143          102004.449          101481.498          101497.751          
    9625600            73.43             103990.768          103609.629          101347.753          101186.524          
    10035200            76.56             102600.031          103668.819          101499.323          101496.329          
    10444800            79.68             102229.930          102273.662          101725.817          101676.799          
    10854400            82.81             102558.373          103411.371          101566.943          101555.857          
    11264000            85.93             103123.682          103206.181          101181.491          101173.539          
    11673600            89.06             102119.228          104200.254          101542.824          101545.400          
    12083200            92.18             102981.178          104065.209          101684.902          101687.434          
    12492800            95.31             103082.074          102811.721          101661.324          101769.778          
    12902400            98.43             102464.905          102835.623          101311.770          101281.681          
    13312000            101.56             102740.278          104047.807          101521.546          101433.746          
    13721600            104.68             102450.030          103010.713          101809.656          101759.101          
    14131200            107.81             102223.285          102508.172          101755.273          101791.525          
    14540800            110.93             102825.831          103812.805          101351.217          101295.763          
    14950400            114.06             102528.951          102719.592          101386.769          101294.805          
    15360000            117.18             102505.709          102568.426          101817.575          101764.565          
    15769600            120.31             103139.009          102971.483          101847.033          101759.050          
    16179200            123.43             102692.642          102701.157          101614.364          101556.827          
    16588800            126.56             102120.705          102520.200          101325.682          101367.088          
    16998400            129.68             103661.699          103022.713          101666.212          101745.905          
    17408000            132.81             102942.454          102717.063          101857.434          101822.755          
    17817600            135.93             102581.618          102728.813          101554.780          101568.264          
    18227200            139.06             104120.808          102998.462          101283.792          101188.884          
    18636800            142.18             102931.518          102824.894          101740.249          101711.168          
    19046400            145.31             102729.452          102420.787          101826.451          101769.435          
    19456000            148.43             103626.094          103582.751          101718.442          101766.437          
    19865600            151.56             102613.260          103514.178          101299.930          101292.419          
    20275200            154.68             102675.519          102557.624          101603.444          101641.984          
    20684800            157.81             102884.851          103493.794          101841.197          101854.340          
    21094400            160.93             102867.429          102946.340          101761.255          101765.530          
    21504000            164.06             102454.948          102503.968          101356.710          101405.382          
    21913600            167.18             102754.569          103117.577          101469.625          101464.163          
    22323200            170.31             102575.655          102936.966          101907.932          101897.097          
    22732800            173.43             102621.711          102660.148          101904.173          101841.725          
    23142400            176.56             103512.068          103159.604          101546.626          101532.370          
    23552000            179.68             103881.783          102881.502          101518.700          101526.358          
    23961600            182.81             102606.638          102771.834          101882.316          101824.355          
    24371200            185.93             103048.845          103319.648          101936.308          102045.592          
    24780800            189.06             102480.725          103111.716          101635.529          101591.865          
    25190400            192.18             102403.668          102602.154          101397.276          101410.339          
    25600000            195.31             103102.774          103788.824          101835.239          101858.824          
    26009600            198.43             102566.999          103063.726          102030.724          101988.832          
    26419200            201.56             102646.770          102751.341          101794.494          101739.760          
    26828800            204.68             103070.524          103372.122          101305.377          101225.284          
    27238400            207.81             102588.255          102807.971          101838.167          101825.985          
    27648000            210.93             102393.672          102911.053          101872.167          101890.735          
    28057600            214.06             103524.005          102980.014          101736.347          101779.310          
    28467200            217.18             102745.055          103264.047          101417.292          101447.787          
    28876800            220.31             102401.975          102560.728          101715.509          101711.330          
    29286400            223.43             103098.030          103294.869          101982.235          101982.235          
    29696000            226.56             102953.174          102463.178          101865.339          101910.099          
    30105600            229.68             102601.561          102376.169          101351.139          101373.991          
    30515200            232.81             102971.179          103425.141          101563.929          101592.459          
    30924800            235.93             102629.983          102853.496          101874.380          101858.749          
    31334400            239.06             102608.423          102593.767          101891.376          101939.606          
    31744000            242.18             103046.785          103349.944          101506.795          101511.529          
    32153600            245.31             102804.630          102839.052          101560.575          101574.572          
    32563200            248.43             102451.286          102600.664          102005.810          101946.331          
    32972800            251.56             103146.430          103053.566          101957.932          101890.088          
    33382400            254.68             103297.916          102869.956          101688.144          101677.329          
    33792000            257.81             102632.887          102567.624          101498.966          101480.334          
    34201600            260.93             102862.322          103626.885          101805.575          101796.750          
    34611200            264.06             102994.925          102713.401          101958.794          101919.476          
    35020800            267.18             102610.359          102651.056          101723.923          101749.734          
    35430400            270.31             103111.537          103240.056          101416.913          101449.025          
    35840000            273.43             102979.665          103013.260          101860.515          101859.683          
    36249600            276.56             102574.144          102769.637          102029.734          102030.560          
    36659200            279.68             103035.771          103928.298          101840.458          101827.281          
    37068800            282.81             102790.932          103476.065          101437.453          101443.919          
    37478400            285.93             102660.508          102643.322          101732.795          101682.998          
    37888000            289.06             102989.441          103620.162          101941.139          101958.696          
    38297600            292.18             102853.145          103171.233          101886.459          101894.354          
    38707200            295.31             102609.545          102586.991          101564.733          101544.583          
    39116800            298.43             103007.597          103206.895          101626.044          101592.260          
    39526400            301.56             102639.764          102890.496          102007.660          101973.207          
    39936000            304.68             102477.909          102804.943          101927.225          101887.872          
    40345600            307.81             103080.966          103450.174          101523.363          101545.668          
    40755200            310.93             102561.573          102998.289          101505.262          101480.987          
    41164800            314.06             102615.042          102682.088          101947.597          101929.232          
    41574400            317.18             103239.536          103385.215          101932.058          101921.146          
    41984000            320.31             102989.584          102901.441          101730.697          101746.475          
    42393600            323.43             102675.056          102852.292          101569.392          101547.445          
    42803200            326.56             103269.670          103107.880          101883.726          101866.794          
    43212800            329.68             102626.928          103286.533          102010.762          102001.652          
    43622400            332.81             102633.606          103064.415          101844.269          101877.499          
    44032000            335.93             103010.171          103098.598          101378.241          101376.889          
    44441600            339.06             102834.262          103058.064          101854.517          101758.820          
    44851200            342.18             102237.191          102685.727          101940.666          102047.997          
    45260800            345.31             102959.830          102796.520          101663.971          101679.245          
    45670400            348.43             102616.867          102784.217          101325.593          101342.606          
    46080000            351.56             102640.235          102698.138          101844.420          101824.109          
    46489600            354.68             103073.540          103303.493          101959.486          101948.427          
    46899200            357.81             102870.625          103116.454          101914.663          101940.452          
    47308800            360.93             102351.995          102487.500          101411.838          101359.357          
    47718400            364.06             102787.756          102996.929          101504.070          101541.167          
    48128000            367.18             102927.751          102593.495          101988.979          101947.482          
    48537600            370.31             102518.415          102556.241          102032.706          102008.367          
    48947200            373.43             102980.044          103437.923          101640.865          101565.985          
    49356800            376.56             102825.716          103013.069          101623.696          101607.866          
    49766400            379.68             102434.514          102606.903          101972.753          101960.592          
    50176000            382.81             103317.510          103452.337          102010.340          101974.741          
    50585600            385.93             102793.500          102920.396          101598.217          101638.611          
    50995200            389.06             102598.372          102570.449          101559.584          101516.639          
