# Benchmark GPU-STREAM running on        Intel(R) Xeon(R) CPU E5-2697 v2 @ 2.70GHz
# Precision: double. Range: [204800 .. 102400000] step 409600
# For more details see https://github.com/UoB-HPC/GPU-STREAM
#  ArrayElements    ArraySize(MB)      Copy(MBytes/s)    Mul(MBytes/s)      Add(MBytes/s)      Triad(MBytes/s)
    204800            1.56             29789.091          24453.731          32550.993          30340.741          
    614400            4.68             47953.171          41478.481          56932.819          50326.280          
    1024000            7.81             68840.336          57286.713          70620.690          63177.378          
    1433600            10.93             70577.231          52130.909          67729.134          54613.333          
    1843200            14.06             52196.814          44548.640          52662.857          47617.653          
    2252800            17.18             53085.125          41622.171          44499.753          44390.148          
    2662400            20.31             44097.723          34717.522          37020.626          34614.085          
    3072000            23.43             37925.926          31407.029          31400.341          30643.392          
    3481600            26.56             33843.013          28406.731          28489.056          29820.985          
    3891200            29.68             33854.921          26801.205          26336.379          29165.771          
    4300800            32.81             31151.109          26744.190          26671.628          28888.665          
    4710400            35.93             30014.496          26287.548          26581.143          29954.849          
    5120000            39.06             29029.057          26494.179          26386.085          28411.561          
    5529600            42.18             28077.944          25899.766          26489.102          28601.379          
    5939200            45.31             29612.714          25106.262          26425.806          28977.597          
    6348800            48.43             27138.873          24655.534          26638.322          28180.359          
    6758400            51.56             26227.116          24869.917          26647.215          28174.674          
    7168000            54.68             26499.076          25217.238          27302.333          28767.893          
    7577600            57.81             25873.154          25086.199          27002.584          28908.345          
    7987200            60.93             26568.649          25018.637          27098.219          28215.013          
    8396800            64.06             26301.644          25027.720          27152.142          28512.054          
    8806400            67.18             25488.857          25111.816          27802.368          28515.057          
    9216000            70.31             26024.709          25340.437          27357.328          28448.103          
    9625600            73.43             25587.240          25259.898          27152.609          28665.393          
    10035200            76.56             25579.608          25013.740          27894.927          28826.427          
    10444800            79.68             25502.335          25062.507          27492.345          28619.157          
    10854400            82.81             25423.862          25002.937          27389.927          28858.491          
    11264000            85.93             25625.480          25146.365          27445.279          29140.455          
    11673600            89.06             25663.314          25131.539          27529.370          28603.002          
    12083200            92.18             25525.640          24821.055          27301.525          28540.183          
    12492800            95.31             25778.282          25004.353          27746.363          28935.263          
    12902400            98.43             25587.308          25206.154          27690.030          28658.732          
    13312000            101.56             25341.106          25350.155          27895.573          28793.079          
    13721600            104.68             25780.366          24951.199          27608.853          28915.480          
    14131200            107.81             25556.595          24856.992          27434.784          28307.220          
    14540800            110.93             25628.200          25192.507          27648.487          28760.442          
    14950400            114.06             25843.388          25493.595          27735.147          29228.543          
    15360000            117.18             25664.160          25146.833          27621.759          28603.352          
    15769600            120.31             25683.388          24998.871          27896.396          29329.696          
    16179200            123.43             25546.946          25052.473          27987.660          28938.799          
    16588800            126.56             25406.413          25203.760          27982.232          28564.443          
    16998400            129.68             25875.216          25461.000          28005.876          29061.234          
    17408000            132.81             25427.059          25194.754          27810.158          28892.946          
    17817600            135.93             25426.472          25208.383          27720.887          29064.256          
    18227200            139.06             25452.540          25319.951          28101.291          28676.028          
    18636800            142.18             25032.639          25263.814          27774.665          28786.408          
    19046400            145.31             25397.316          25258.384          28078.231          28845.434          
    19456000            148.43             25035.869          25443.073          27756.286          29029.779          
    19865600            151.56             25298.440          25365.063          28246.602          28755.995          
    20275200            154.68             25461.361          25441.393          28195.898          29227.269          
    20684800            157.81             25691.414          25462.133          27690.495          29024.509          
    21094400            160.93             25422.597          25607.769          28026.218          28894.789          
    21504000            164.06             25412.807          25244.992          27847.407          28963.241          
    21913600            167.18             25381.323          25405.232          28055.393          29218.133          
    22323200            170.31             25576.169          25448.607          27914.177          28797.936          
    22732800            173.43             25376.739          25470.924          28037.782          29080.923          
    23142400            176.56             25283.605          25285.332          28313.075          28905.418          
    23552000            179.68             25007.101          25442.711          27963.194          29060.100          
    23961600            182.81             25287.620          25383.051          27890.703          29101.685          
    24371200            185.93             25418.108          25307.580          28147.680          28932.964          
    24780800            189.06             25419.464          25646.365          27971.931          29152.453          
    25190400            192.18             25480.238          25414.364          28315.751          28994.753          
    25600000            195.31             25568.040          25536.160          28318.584          29159.943          
    26009600            198.43             25609.452          25641.010          28234.221          29258.514          
    26419200            201.56             25507.314          25559.753          28211.826          28811.778          
    26828800            204.68             25172.157          25424.118          28344.024          29022.411          
    27238400            207.81             25232.422          25360.163          28215.357          29303.044          
    27648000            210.93             25301.304          25809.102          28169.129          29044.559          
    28057600            214.06             25662.928          25541.739          28163.212          29111.686          
    28467200            217.18             25000.011          25574.127          28354.962          29298.546          
